Order_ID,Stock_Symbol,Queue_Position,Order_Type,Quantity,Price($),Check_Block,Timestamp
ORD00556,CSCO,34,BUY,312,92.16,SELL,2024-12-17 11:52:43
ORD03492,AEM,25,SELL,417,283.21,BUY,2024-02-09 15:34:07
ORD00528,CSCO,11,BUY,30,91.44,SELL,2024-12-17 12:22:44
ORD03926,HUT,16,SELL,306,425.3,BUY,2024-12-04 11:12:28
ORD02990,BIOX,37,BUY,267,96.5,SELL,2024-05-08 10:24:31
ORD00071,MSFT,25,SELL,458,13.8,BUY,2024-05-08 13:03:11
ORD01757,CHGG,39,SELL,271,302.46,BUY,2024-01-08 14:01:59
ORD00212,META,8,SELL,294,75.75,BUY,2024-03-04 09:42:11
ORD00197,TSLA,4,BUY,468,149.3,SELL,2024-12-23 15:55:05
ORD00804,SNAP,11,BUY,53,369.2,SELL,2024-01-09 13:33:17
ORD03410,BEEF,35,BUY,322,230.03,SELL,2024-10-30 10:56:05
ORD03837,MAG,6,BUY,6,74.73,SELL,2024-12-16 10:34:07
ORD01147,PLTR,24,BUY,148,105.09,SELL,2024-10-08 14:20:20
ORD01499,XPEV,9,BUY,272,367.82,SELL,2024-08-02 13:25:15
ORD03859,RIOT,20,SELL,278,337.84,BUY,2024-01-22 13:52:34
ORD03483,AEM,35,SELL,415,289.14,BUY,2024-02-09 13:49:24
ORD01186,RBLX,22,BUY,111,99.03,SELL,2024-12-20 10:09:08
ORD00472,ORCL,9,SELL,496,29.34,BUY,2024-07-10 09:31:35
ORD00595,QCOM,25,BUY,314,438.14,SELL,2024-01-25 14:06:01
ORD00322,INTC,13,BUY,459,68.97,SELL,2024-07-29 14:12:48
ORD01418,RIVN,2,BUY,166,183.52,SELL,2024-06-26 11:56:27
ORD01675,DKNG,23,SELL,335,212.09,BUY,2024-07-10 11:14:06
ORD03591,AG,31,BUY,74,133.76,SELL,2024-11-12 12:25:50
ORD01704,PENN,33,SELL,349,152.28,BUY,2024-10-15 15:54:22
ORD02541,MELI,8,BUY,366,72.19,SELL,2024-02-16 12:43:11
ORD00206,META,3,SELL,386,77.87,BUY,2024-03-04 13:31:42
ORD03888,MARA,27,BUY,121,131.46,SELL,2024-10-07 10:58:58
ORD03249,BRKM,35,BUY,348,71.46,SELL,2024-09-05 12:16:30
ORD02132,OPEN,9,BUY,184,426.75,SELL,2024-03-25 12:08:38
ORD01256,HOOD,13,SELL,406,60.96,BUY,2024-07-02 10:31:49
ORD02300,HOUS,34,SELL,258,243.01,BUY,2024-09-24 14:45:31
ORD01227,COIN,6,SELL,415,305.79,BUY,2024-09-23 10:34:51
ORD03919,MARA,37,SELL,234,126.64,BUY,2024-10-07 09:36:53
ORD02465,SEA,8,SELL,20,335.11,BUY,2024-04-02 13:37:26
ORD02384,DASH,27,SELL,426,119.99,BUY,2024-12-25 14:56:01
ORD00150,AMZN,6,BUY,309,189.4,SELL,2024-06-10 11:45:14
ORD00870,TWTR,12,BUY,308,338.92,SELL,2024-04-15 09:47:43
ORD01979,FVRR,2,SELL,278,171.6,BUY,2024-04-05 09:31:21
ORD02457,SEA,25,SELL,109,370.6,BUY,2024-04-02 10:05:55
ORD03866,RIOT,27,BUY,335,308.34,SELL,2024-01-22 14:52:54
ORD02213,RDFN,5,BUY,290,463.29,SELL,2024-10-30 11:31:53
ORD01007,ROKU,12,SELL,301,250.43,BUY,2024-05-15 11:28:21
ORD03048,CAAP,7,SELL,105,66.03,BUY,2024-10-11 10:08:04
ORD00706,PYPL,30,BUY,166,96.88,SELL,2024-01-25 12:28:25
ORD03144,PBR,2,BUY,297,258.72,SELL,2024-05-01 11:17:56
ORD03597,AG,10,SELL,307,149.91,BUY,2024-11-12 15:19:14
ORD01988,FVRR,9,BUY,476,174.4,SELL,2024-04-05 14:41:44
ORD00180,TSLA,10,SELL,382,144.87,BUY,2024-12-23 14:35:49
ORD00110,GOOGL,28,SELL,22,507.75,BUY,2024-03-18 11:26:15
ORD03079,CAAP,31,BUY,37,60.64,SELL,2024-10-11 13:40:25
ORD01056,ZM,18,BUY,59,300.05,SELL,2024-11-04 10:02:28
ORD03953,HUT,17,BUY,494,355.0,SELL,2024-12-04 14:11:50
ORD00315,NFLX,30,BUY,424,270.37,SELL,2024-11-05 12:43:54
ORD01823,UPST,30,BUY,215,402.8,SELL,2024-04-10 14:26:55
ORD00568,QCOM,12,SELL,134,472.88,BUY,2024-01-25 14:10:46
ORD00880,TWTR,37,SELL,433,387.7,BUY,2024-04-15 11:25:25
ORD02231,RDFN,30,SELL,349,469.62,BUY,2024-10-30 11:31:17
ORD01412,RIVN,5,SELL,146,202.54,BUY,2024-06-26 10:41:16
ORD03225,BBD,8,BUY,238,148.58,SELL,2024-03-22 15:31:02
ORD03937,HUT,7,BUY,125,367.81,SELL,2024-12-04 11:51:52
ORD03250,BRKM,25,SELL,249,77.07,BUY,2024-09-05 14:46:43
ORD00930,SHOP,36,SELL,425,163.86,BUY,2024-03-29 15:33:46
ORD02579,NU,33,BUY,457,75.6,SELL,2024-09-06 15:35:56
ORD03380,RENT,24,SELL,410,433.24,BUY,2024-12-19 13:20:43
ORD02293,HOUS,36,BUY,381,224.13,SELL,2024-09-24 12:03:52
ORD01503,XPEV,14,SELL,17,382.99,BUY,2024-08-02 15:05:17
ORD03783,GPL,37,SELL,467,72.14,BUY,2024-11-20 15:03:02
